date,nav,cash,invested,drawdown,is_circuit
2015-01-05,1000000.0,1000000.0,0.0,0.0,0
2015-01-06,1000000.0,1000000.0,0.0,0.0,0
2015-01-07,1000000.0,1000000.0,0.0,0.0,0
2015-01-08,1000000.0,1000000.0,0.0,0.0,0
2015-01-09,1000000.0,1000000.0,0.0,0.0,0
2015-01-12,1000000.0,1000000.0,0.0,0.0,0
2015-01-13,1000000.0,1000000.0,0.0,0.0,0
2015-01-14,1000000.0,1000000.0,0.0,0.0,0
2015-01-15,1000000.0,1000000.0,0.0,0.0,0
2015-01-16,1000000.0,1000000.0,0.0,0.0,0
2015-01-19,1000000.0,1000000.0,0.0,0.0,0
2015-01-20,1000000.0,1000000.0,0.0,0.0,0
2015-01-21,1000000.0,1000000.0,0.0,0.0,0
2015-01-22,1000000.0,1000000.0,0.0,0.0,0
2015-01-23,1000000.0,1000000.0,0.0,0.0,0
2015-01-26,1000000.0,1000000.0,0.0,0.0,0
2015-01-27,1000000.0,1000000.0,0.0,0.0,0
2015-01-28,1000000.0,1000000.0,0.0,0.0,0
2015-01-29,1000000.0,1000000.0,0.0,0.0,0
2015-01-30,1000000.0,1000000.0,0.0,0.0,0
2015-02-02,1000000.0,1000000.0,0.0,0.0,0
2015-02-03,1000000.0,1000000.0,0.0,0.0,0
2015-02-04,1000000.0,1000000.0,0.0,0.0,0
2015-02-05,1000000.0,1000000.0,0.0,0.0,0
2015-02-06,1000000.0,1000000.0,0.0,0.0,0
2015-02-09,1000000.0,1000000.0,0.0,0.0,0
2015-02-10,1000000.0,1000000.0,0.0,0.0,0
2015-02-11,1000000.0,1000000.0,0.0,0.0,0
2015-02-12,1000000.0,1000000.0,0.0,0.0,0
2015-02-13,1000000.0,1000000.0,0.0,0.0,0
2015-02-16,1000000.0,1000000.0,0.0,0.0,0
2015-02-17,1000000.0,1000000.0,0.0,0.0,0
2015-02-25,1000000.0,1000000.0,0.0,0.0,0
2015-02-26,1000000.0,1000000.0,0.0,0.0,0
2015-02-27,1000000.0,1000000.0,0.0,0.0,0
2015-03-02,1000000.0,1000000.0,0.0,0.0,0
2015-03-03,1000000.0,1000000.0,0.0,0.0,0
2015-03-04,1000000.0,1000000.0,0.0,0.0,0
2015-03-05,1000000.0,1000000.0,0.0,0.0,0
2015-03-06,1000000.0,1000000.0,0.0,0.0,0
2015-03-09,1000000.0,1000000.0,0.0,0.0,0
2015-03-10,1000000.0,1000000.0,0.0,0.0,0
2015-03-11,1000000.0,1000000.0,0.0,0.0,0
2015-03-12,1000000.0,1000000.0,0.0,0.0,0
2015-03-13,1000000.0,1000000.0,0.0,0.0,0
