date,symbol,direction,shares,price,value,cost
2015-02-02,511880,buy,2536.080422016523,100.47,254800.00000000003,331.24
2015-02-02,511010,buy,3530.348862569578,105.457,372300.0,483.98999999999995
2015-04-01,511880,sell,14.025962831869666,101.203,1419.4695164737059,1.8453103714158177
2015-04-01,511010,buy,7.363890271374192,105.419,776.2939485179959,1.0091821330733945
2015-06-01,511880,sell,7.082642815212364,101.769,720.7934766613471,0.9370315196597512
2015-06-01,511010,sell,2.980077959291108,105.8,315.2922480929992,0.40987992252089894
2015-08-03,511010,sell,47.44130189741131,108.393,5142.305036566104,6.684996547535935
2015-08-03,511880,buy,10.849401894275898,102.422,1111.217440815526,1.4445826730601838
2015-10-08,511880,sell,5.019508930238404,102.783,515.9201863766939,0.670696242289702
2015-10-08,511010,sell,0.6462265684019579,108.579,70.16663457051618,0.09121662494167103
2015-12-01,511880,sell,8.994101557285392,103.208,928.2632335243106,1.2067422035816038
2015-12-01,511010,buy,6.622589962743484,108.433,718.1072974301642,0.9335394866592134
2016-02-01,511880,sell,2087.485560885417,100.372,209525.10071719106,272.3826309323484
2016-02-01,511010,buy,4883.054782190898,109.804,536178.9473036893,697.0326314947961
2016-04-01,511010,sell,7943.458560269749,111.742,887617.9464416623,1153.903330374161
2016-04-01,518880,buy,341574.7279551039,2.564,875797.6024768865,1138.5368832199524
2016-04-01,511880,buy,55.64425885989477,100.776,5607.605830864755,7.289887580124182
2016-05-31,518880,sell,44057.81017464554,2.576,113492.91900988691,147.54079471285297
2016-05-31,511880,buy,373.98644670900023,101.156,37830.97300329563,49.180264904284314
2016-05-31,511010,buy,341.154584261082,110.891,37830.97300329564,49.180264904284336
2016-06-01,511880,sell,374.16872935320487,101.158,37850.1603239115,49.20520842108495
2016-06-01,511010,sell,336.39688590818696,110.904,37307.76023476157,48.50008830519004
2016-06-01,518880,buy,43228.91962816125,2.579,111487.38372102787,144.93359883733623
2016-06-17,518880,sell,89553.12270374908,2.715,243136.72814067872,316.0777465828823
