date,symbol,direction,shares,price,value,cost
2015-02-02,511880,buy,197.07375335921185,100.47,19800.000000000015,25.740000000000016
2015-02-02,511010,buy,187.75425054761672,105.457,19800.000000000015,25.740000000000016
2015-04-01,511880,sell,1.4005130015751432,101.203,141.73611729840923,0.18425695248793197
2015-04-01,511010,buy,0.09347086800958396,105.419,9.853605434702331,0.01280968706511303
2015-06-01,511880,sell,1.0528230189864,101.769,107.14474581922696,0.13928816956499504
2015-06-01,511010,sell,0.6423787678275726,105.8,67.96367363615718,0.08835277572700433
2015-08-03,511880,sell,1.1224534788414455,102.422,114.96393020989854,0.1494531092728681
2015-08-03,511010,sell,4.366520450338149,108.393,473.30025117350306,0.6152903265255539
2015-10-08,511880,sell,0.6597536879927158,102.783,67.81146331295531,0.0881549023068419
2015-10-08,511010,sell,0.2944097780260272,108.579,31.966719288288004,0.041556735074774406
2015-12-01,511880,sell,0.7835029596762302,103.208,80.86377346226436,0.10512290550094366
2015-12-01,511010,buy,0.25586260708446,108.433,27.743950073989254,0.03606713509618603
2016-02-01,511880,buy,5.368458517941,100.372,538.8429183627741,0.7004957938716062
2016-02-01,511010,buy,8479.510602096936,109.804,931084.182152652,1210.4094367984476
2016-04-01,511010,sell,8481.98717720804,111.742,947794.2111555808,1232.132474502255
2016-04-01,518880,buy,369359.3413297856,2.564,947037.3511695702,1231.1485565204412
2016-04-01,511880,buy,2.52256416541326,100.776,254.2139263336867,0.3304781042337927
2016-05-17,518880,sell,38404.10952448209,2.682,102999.82174466096,133.89976826805923
2016-05-17,511880,buy,339.677805956775,101.076,34333.27391488699,44.63325608935308
2016-05-17,511010,buy,309.18621370706194,111.044,34333.27391488699,44.63325608935308
2016-05-31,518880,sell,57886.379635633224,2.576,149115.31394139118,193.84990812380852
2016-05-31,511880,buy,491.37080002303765,101.156,49705.1046471304,64.61663604126952
2016-05-31,511010,buy,448.23389316653646,110.891,49705.1046471304,64.61663604126952
2016-06-01,511880,sell,830.3005953831781,101.158,83991.54762777154,109.18901191610298
2016-06-01,511010,sell,754.6865915334515,110.904,83697.7617474259,108.80709027165366
2016-06-01,518880,buy,96913.13225569912,2.579,249938.96808744804,324.92065851368244
2016-06-17,518880,sell,114001.9827200261,2.715,309515.3830848709,402.3699980103321
2016-06-17,511880,buy,1018.6386236880811,101.284,103171.79436162362,134.1233326701107
2016-06-17,511010,buy,927.6120439263788,111.223,103171.79436162363,134.1233326701107
2016-07-01,518880,sell,103866.79863895506,2.858,296851.31051013357,385.90670366317363
2016-07-01,511880,buy,975.9195679808191,101.392,98950.4368367112,128.63556788772456
2016-07-01,511010,buy,884.6708702432832,111.85,98950.43683671122,128.6355678877246
2016-07-15,518880,sell,53901.22787244185,2.875,154966.0301332703,201.4558391732514
2016-07-15,511880,buy,508.9647690707229,101.491,51655.34337775674,67.15194639108375
2016-07-15,511010,buy,461.10138162352285,112.026,51655.34337775677,67.1519463910838
2016-08-01,511880,sell,2486.5199145031593,101.609,252652.80199275148,328.4486425905769
2016-08-01,511010,sell,2260.0797785637205,112.649,254595.72697542456,330.9744450680519
2016-08-01,518880,buy,263149.78418289125,2.877,757081.9290941781,984.2065078224315
2016-09-12,518880,sell,36907.459096503946,2.852,105260.07334322925,136.838095346198
2016-09-12,511880,buy,344.3450165310003,101.894,35086.69111440975,45.612698448732665
2016-09-12,511010,buy,311.51618646929603,112.632,35086.691114409754,45.61269844873268
2016-10-10,511880,sell,354.39102275756824,102.071,36173.04608388775,47.02495990905407
2016-10-10,511010,sell,320.600491813856,113.175,36283.960661033154,47.169148859343096
2016-10-10,518880,sell,221043.67843294443,2.737,604996.5478709689,786.4955122322596
2016-10-10,510500,buy,28595.585489963178,6.761,193334.75349764104,251.33517954693335
2016-10-10,510880,buy,92510.58332834029,2.6,240527.51665368475,312.6857716497902
2016-10-10,513100,buy,420889.8517361563,0.3364435670261941,141605.68304323842,184.08738795620994
2016-10-10,513500,buy,185026.65190748993,0.7440438756855576,137667.94719037137,178.96833134748277
2016-10-11,518880,sell,1190.9935047020017,2.731,3252.603261341166,4.228384239743516
2016-10-11,510500,sell,2859.558548996321,6.782,19393.52607929305,25.211583903080964
2016-10-11,510880,sell,9251.058332834025,2.604,24089.755898699805,31.316682668309745
2016-10-11,513100,sell,42088.98517361561,0.3407444144838212,14341.586609201884,18.64406259196245
2016-10-11,513500,sell,18502.66519074898,0.7506508226691042,13889.04084700672,18.055753101108735
2016-10-11,511880,buy,244.81099560300225,102.074,24988.837565180853,32.48548883473511
2016-10-11,511010,buy,220.75529886110812,113.197,24988.837565180856,32.485488834735115
2016-10-24,518880,sell,12757.71010967453,2.76,35211.2799027017,45.77466387351221
2016-10-24,510500,sell,3212.032526540854,6.837,21960.66638395982,28.548866299147765
2016-10-24,510880,sell,10391.35928180918,2.679,27838.451515966794,36.18998697075683
2016-10-24,511880,buy,277.40652642260596,102.149,28336.799267542774,36.8378390478056
2016-10-24,511010,buy,249.09938964233217,113.757,28336.79926754278,36.837839047805616
2016-12-01,511880,sell,516.4233735678678,102.411,52887.434110458904,68.75366434359657
2016-12-01,511010,sell,461.3970169243975,111.677,51527.43465906595,66.98566505678573
2016-12-01,510880,sell,72868.16571369708,2.828,206071.17263833532,267.89252442983593
2016-12-01,513500,sell,46172.32005430108,0.855345521023766,39493.28715372224,51.34127329983891
2016-12-01,510500,buy,25172.933435123265,6.931,174473.60163883935,226.81568213049115
2016-12-01,512120,buy,222312.32807719227,0.4413614262560777,98120.08619445865,127.55611205279624
2016-12-01,513100,buy,259029.3008575269,0.34563174114021566,89528.74826171978,116.3873727402357
2016-12-01,518880,buy,14808.536941808172,2.64,39094.53752637358,50.82289878428565
2016-12-20,518880,sell,598.4894502864577,2.601,1556.6710601950763,2.023672378253599
2016-12-20,510500,sell,4769.692784954921,6.578,31375.039139433473,40.78755088126351
2016-12-20,513100,sell,63783.01674200675,0.355015408320493,22643.953732576367,29.437139852349276
2016-12-20,513500,sell,12035.166666243984,0.9641060329067642,11603.176789964215,15.084129826953479
2016-12-20,512120,sell,22231.23280771923,0.4279286871961102,9513.382270158385,12.3673969512059
2016-12-20,511880,buy,249.34478742527025,102.525,25564.074330775835,33.23329663000858
2016-12-20,511010,buy,234.14183959604915,109.182,25564.07433077584,33.23329663000859
2017-02-03,511880,sell,249.38256264904305,100.355,25026.787074644715,32.53482319703813
2017-02-03,511010,sell,236.63454329290474,110.827,26225.496529522752,34.09314548837958
2017-02-03,510500,sell,22306.55303475414,6.493,144836.44885465864,188.28738351105622
2017-02-03,512120,buy,44846.67744207586,0.42217179902755264,18933.002496129528,24.612903244968386
2017-02-03,513100,buy,168876.7911241298,0.36518104776579347,61670.60352603477,80.1717845838452
2017-02-03,513500,buy,190370.76437461926,0.7348957952468007,139902.67427682714,181.87347655987526
2017-02-03,518880,buy,470.4710385733552,2.674,1258.0395571451518,1.6354514242886973
2017-02-06,518880,sell,1028.7158064818666,2.701,2778.561393307522,3.6121298112997784
2017-02-06,510500,sell,2062.0682029840214,6.549,13504.484661342358,17.555830059745066
2017-02-06,513100,sell,74292.39418021904,0.36635400616332814,27217.316235388367,35.38251110600488
2017-02-06,513500,sell,29868.726437081525,0.7415027422303474,22147.742560024024,28.79206532803123
2017-02-06,512120,sell,24492.777271154897,0.424730415991356,10402.82747916125,13.523675722909623
2017-02-06,511880,buy,252.54847453035381,100.378,25350.310776407856,32.95540400933021
2017-02-06,511010,buy,228.96907172838235,110.715,25350.310776407852,32.95540400933021
2017-04-05,511880,sell,241.95481734997531,100.864,24404.53069718791,31.725889906344282
2017-04-05,511010,sell,218.3163508565414,110.81,24191.634838413353,31.449125289937356
2017-04-05,513100,sell,123485.71694759787,0.38903120184899836,48039.79687530923,62.451735937901994
2017-04-05,513500,sell,82067.90699519342,0.7948665447897624,65233.03367139696,84.80294377281604
2017-04-05,512120,sell,88504.6970380216,0.4586320907617504,40591.09424478314,52.76842251821808
2017-04-05,510500,buy,17796.435391740597,6.859,122065.75035194875,158.68547545753336
2017-04-05,518880,buy,37112.897457961764,2.792,103619.20970262925,134.70497261341802
2017-04-19,518880,sell,4760.717657766244,2.841,13525.1988657139,17.58275852542807
2017-04-19,510500,sell,3635.5049218596787,6.646,24161.565710679424,31.41003542388325
2017-04-19,513100,sell,54514.58306743732,0.38160246533127884,20802.899295040872,27.043769083553133
2017-04-19,513500,sell,18675.063093854013,0.7735210237659964,14445.553923252533,18.779220100228294
2017-04-19,512120,sell,13193.029840237241,0.4551139924365208,6004.332482924525,7.8056322278018815
2017-04-19,511880,buy,260.4646759767027,101.024,26313.18342587042,34.20713845363154
2017-04-19,511010,buy,238.22321490793095,110.456,26313.183425870422,34.20713845363155
2017-06-01,511880,sell,267.18277948323424,101.448,27105.158613015145,35.236706196919684
2017-06-01,511010,sell,240.83723996103234,109.513,26374.808659852537,34.28725125780829
2017-06-01,510500,sell,11968.88909123859,5.984,71621.83232197173,93.10838201856325
2017-06-01,513100,sell,490631.2476069363,0.4079940292758089,200174.61959977102,260.2270054797023
2017-06-01,510880,buy,80874.34849322506,2.807,227014.29622048273,295.11858508662755
2017-06-01,512120,buy,28895.801700483444,0.45063641274986493,13021.500421837307,16.927950548388498
2017-06-01,513500,buy,114019.34327466723,0.7740292504570384,88254.30681249444,114.73059885624276
2017-06-01,518880,buy,8556.911628374133,2.777,23762.543591994967,30.891306669593455
2017-08-01,518880,sell,26477.382575133404,2.745,72680.4151687412,94.48453971936355
2017-08-01,510500,sell,1052.8629925886148,6.615,6964.688695973688,9.054095304765793
2017-08-01,510880,sell,20702.283233312002,3.026,62645.109064002114,81.43864178320274
2017-08-01,512120,buy,104822.2821160694,0.45351485683414366,47538.46226689743,61.80000094696666
2017-08-01,513500,buy,118924.18475011621,0.7786032906764169,92594.76158745063,120.37319006368581
2017-08-01,511880,buy,4.035829215571471,102.074,411.9532313502423,0.5355392007553149
2017-08-01,511010,buy,4.532001862064237,109.764,497.4506523876189,0.6466858481039045
2017-10-09,513500,sell,401019.0958694696,0.7928336380255941,317941.4286959261,413.3238573047039
2017-10-09,510500,buy,3987.4891153773688,7.039,28067.935883141297,36.48831664808368
2017-10-09,510880,buy,43794.78761181982,3.058,133924.460516945,174.10179867202848
2017-10-09,512880,buy,130939.38545638084,1.112,145604.5966274955,189.28597561574415
2017-10-09,512120,buy,6631.9112644602765,0.4784613722312263,3173.113364109391,4.125047373342208
2017-10-09,518880,buy,2106.077589734219,2.729,5747.485742384684,7.471731465100089
2017-10-09,511880,buy,2.384329024812457,102.791,245.08756478949726,0.3186138342263464
2017-10-09,511010,buy,3.514547378947831,109.85,386.0730295774192,0.5018949384506449
2017-10-09,511260,buy,229.63411024059366,100.136,22994.641263052086,29.893033641967712
2017-12-01,511880,sell,4.303228959445149,103.399,444.949571177669,0.5784344425309697
2017-12-01,511010,sell,1.820637711585406,109.325,199.04121781907452,0.25875358316479685
2017-12-01,510500,sell,173.3280329193718,6.641,1151.0714666175481,1.4963929066028125
2017-12-01,510880,sell,36163.93220630847,3.09,111746.55051749316,145.2705156727411
2017-12-01,512880,sell,9654.953110968303,1.036,10002.531422963162,13.00329084985211
2017-12-01,512120,buy,40140.010314400904,0.4960518638573743,19911.526931712797,25.884985011226636
2017-12-01,518880,buy,38191.28203127951,2.702,103192.84404851723,134.1506972630724
2017-12-01,511260,buy,1.8621042394846379,97.996,182.47876705253657,0.23722239716829752
2018-02-01,511010,sell,0.5852172214041237,109.868,64.29664568122826,0.08358563938559672
2018-02-01,518880,sell,1228.3685490816922,2.729,3352.217770443938,4.357883101577119
2018-02-01,510880,sell,10481.431528205914,3.222,33771.17238387946,43.90252409904329
2018-02-01,512880,sell,30798.367350232125,1.013,31198.74612578514,40.558369963520676
2018-02-01,510500,buy,4350.324782326973,6.306,27433.148077353893,35.66309250056006
2018-02-01,512120,buy,80412.20368122013,0.49797082658022684,40042.93153427474,52.05581099455716
2018-02-01,511880,buy,6.652691943962789,100.57,669.0612288043376,0.8697795974456388
2018-02-01,511260,buy,0.5742076304939293,97.962,56.25052789844631,0.0731256862679802
2018-02-02,518880,sell,5864.325313728477,2.731,16015.47243179247,20.82011416133021
2018-02-02,510500,sell,2786.2278077694864,6.303,17561.59387237107,22.83007203408239
2018-02-02,512120,sell,37963.94776387692,0.49797082658022684,18904.93844822634,24.576419982694244
2018-02-02,510880,sell,5732.148913721852,3.253,18646.680416337185,24.24068454123834
2018-02-02,512880,sell,9048.606499518042,1.01,9139.092564513223,11.88082033386719
2018-02-02,511880,buy,265.88947321898587,100.628,26755.92591108011,34.78270368440414
2018-02-02,511010,buy,243.41271753166035,109.92,26755.925911080107,34.78270368440414
2018-02-02,511260,buy,272.5524194348475,98.168,26755.925911080107,34.78270368440414
2018-03-08,518880,sell,14959.45406969349,2.714,40599.95834514813,52.77994584869257
2018-03-08,511880,buy,134.11675551133925,100.907,13533.31944838271,17.59331528289752
2018-03-08,511010,buy,121.9547575775679,110.97,13533.31944838271,17.59331528289752
2018-03-08,511260,buy,136.60085037530996,99.072,13533.31944838271,17.59331528289752
