date,nav,cash,invested,drawdown,is_circuit
2015-01-05,1000000.0,1000000.0,0.0,0.0,0
2015-01-06,1000000.0,1000000.0,0.0,0.0,0
2015-01-07,1000000.0,1000000.0,0.0,0.0,0
2015-01-08,1000000.0,1000000.0,0.0,0.0,0
2015-01-09,1000000.0,1000000.0,0.0,0.0,0
2015-01-12,1000000.0,1000000.0,0.0,0.0,0
2015-01-13,1000000.0,1000000.0,0.0,0.0,0
2015-01-14,1000000.0,1000000.0,0.0,0.0,0
2015-01-15,1000000.0,1000000.0,0.0,0.0,0
2015-01-16,1000000.0,1000000.0,0.0,0.0,0
2015-01-19,1000000.0,1000000.0,0.0,0.0,0
2015-01-20,1000000.0,1000000.0,0.0,0.0,0
2015-01-21,1000000.0,1000000.0,0.0,0.0,0
2015-01-22,1000000.0,1000000.0,0.0,0.0,0
2015-01-23,1000000.0,1000000.0,0.0,0.0,0
2015-01-26,1000000.0,1000000.0,0.0,0.0,0
2015-01-27,1000000.0,1000000.0,0.0,0.0,0
2015-01-28,1000000.0,1000000.0,0.0,0.0,0
2015-01-29,1000000.0,1000000.0,0.0,0.0,0
2015-01-30,1000000.0,1000000.0,0.0,0.0,0
2015-02-02,1000000.0,960400.0,39600.00000000003,0.0,0
2015-02-03,1000048.043720746,960400.0,39648.04372074596,0.0,0
2015-02-04,1000085.5918424668,960400.0,39685.591842466856,0.0,0
2015-02-05,1000126.6713811313,960400.0,39726.67138113122,0.0,0
2015-02-06,1000206.5228546308,960400.0,39806.52285463083,0.0,0
2015-02-09,1000231.598048679,960400.0,39831.598048678905,0.0,0
2015-02-10,1000105.2687607631,960400.0,39705.26876076311,-0.00012630003707370547,0
2015-02-11,1000210.7293683597,960400.0,39810.72936835969,-2.086384829273063e-05,0
2015-02-12,1000280.3900580384,960400.0,39880.3900580384,0.0,0
2015-02-13,1000344.2542318756,960400.0,39944.25423187563,0.0,0
2015-02-16,1000311.2399408189,960400.0,39911.239940818916,-3.300292965858181e-05,0
2015-02-17,1000334.9969923876,960400.0,39934.996992387605,-9.254053740907588e-06,0
2015-02-25,1000336.1235178909,960400.0,39936.1235178909,-8.127915915269317e-06,0
2015-02-26,1000300.9095943132,960400.0,39900.90959431325,-4.332972112254196e-05,0
2015-02-27,1000306.2226303455,960400.0,39906.22263034545,-3.80185134959899e-05,0
2015-03-02,1000250.6926055031,960400.0,39850.69260550309,-9.35294284709536e-05,0
2015-03-03,1000243.2569915036,960400.0,39843.25699150369,-0.00010096248360975879,0
2015-03-04,1000259.8911995856,960400.0,39859.89119958562,-8.433399995363847e-05,0
